source,target,value
mac,macbook-pro,176
mac,macbook-air,103
developer,macbook-pro,79
mac,cinema-display,77
mac,iphone-4,66
mac,google-docs,56
mac,mac-pro,55
mac,mac-os-x,55
web,macbook-pro,48
developer,macbook-air,48
designer,macbook-pro,47
software,macbook-pro,45
mac,keyboard,39
mac,photoshop,38
writer,macbook-pro,37
mac,ipad-2,36
developer,cinema-display,36
windows,windows-7,33
mac,magic-mouse,33
mac,windows-7,31
mac,mail,31
mac,mac-mini,31
mac,iphone-4s,31
developer,mac-os-x,31
web,macbook-air,30
software,macbook-air,30
mac,google-calendar,30
developer,google-docs,30
developer,iphone-4,28
writer,macbook-air,27
mac,google-reader,27
developer,windows-7,27
designer,macbook-air,27
developer,mac-pro,26
web,cinema-display,25
software,cinema-display,24
mac,creative-suite,24
linux,macbook-pro,24
designer,cinema-display,24
mac,magic-trackpad,23
software,mac-pro,22
mac,time-machine,22
mac,iphone-3g,22
mac,intuos,22
mac,chrome,22
web,iphone-4,21
mac,iphone-3gs,21
mac,instapaper-ios,21
mac,instagram-ios,21
designer,iphone-4,21
artist,macbook-pro,21
writer,google-docs,20
windows,macbook-pro,20
software,mac-os-x,20
software,iphone-4,20
mac,vmware-fusion,20
mac,time-capsule,20
windows,google-docs,19
mac,simplenote-ios,19
game,macbook-pro,19
windows,windows-xp,18
web,google-docs,18
mac,twitter-mac,18
mac,ipod-touch,18
linux,macbook-air,18
developer,keyboard,18
designer,google-docs,18
mac,kindle-ios,17
mac,apple-tv,17
developer,photoshop,17
developer,chrome,17
mac,kindle,16
mac,final-cut-pro,16
mac,eos-5d-mark-ii,16
developer,mac-mini,16
developer,ipad-2,16
developer,google-reader,16
writer,iphone-4,15
writer,cinema-display,15
software,keyboard,15
mac,twitter-ios,15
mac,cintiq,15
developer,windows-xp,15
developer,time-machine,15
mac,word,14
mac,after-effects,14
linux,mac-os-x,14
developer,sublime-text-2,14
developer,ipod-touch,14
developer,iphone-4s,14
designer,magic-mouse,14
designer,keyboard,14
writer,google-reader,13
web,magic-mouse,13
mac,xbox-360,13
mac,windows-xp,13
mac,thunderbolt-display,13
mac,sublime-text-2,13
mac,office,13
mac,notational-velocity,13
mac,ipad,13
mac,illustrator,13
mac,ia-writer-mac,13
mac,c-plusplus,13
developer,google-calendar,13
developer,c-plusplus,13
designer,creative-suite,13
writer,word,12
writer,google-calendar,12
windows,photoshop,12
windows,mac-os-x,12
mac,tweetbot-ios,12
mac,reeder-ios,12
mac,nexus-one,12
mac,airport-express,12
game,photoshop,12
game,google-docs,12
developer,mail,12
developer,magic-mouse,12
designer,google-calendar,12
writer,mac-pro,11
writer,mac-os-x,11
