source,target,value
mac,macbook-pro,176
mac,macbook-air,103
developer,macbook-pro,79
mac,cinema-display,77
mac,iphone-4,66
mac,google-docs,56
mac,mac-pro,55
mac,mac-os-x,55
web,macbook-pro,48
developer,macbook-air,48
designer,macbook-pro,47
software,macbook-pro,45
mac,keyboard,39
mac,photoshop,38
writer,macbook-pro,37
mac,ipad-2,36
developer,cinema-display,36
windows,windows-7,33
mac,magic-mouse,33
mac,windows-7,31
mac,mail,31
mac,mac-mini,31
mac,iphone-4s,31
developer,mac-os-x,31
web,macbook-air,30
software,macbook-air,30
mac,google-calendar,30
developer,google-docs,30
developer,iphone-4,28
