"developer","macbook-pro"
"mac","macbook-pro"
"web","macbook-pro"
"developer","cinema-display"
"mac","cinema-display"
"web","cinema-display"
"developer","readynas-nv-plus"
"mac","readynas-nv-plus"
"web","readynas-nv-plus"
"developer","time-machine"
"mac","time-machine"
"web","time-machine"
"developer","airport-express"
"mac","airport-express"
"web","airport-express"
"developer","safari-adblock"
"mac","safari-adblock"
"web","safari-adblock"
"developer","google-calendar"
"mac","google-calendar"
"web","google-calendar"
"developer","istat-pro"
"mac","istat-pro"
"web","istat-pro"
"developer","google-apps"
"mac","google-apps"
"web","google-apps"
"developer","review-board"
"mac","review-board"
"web","review-board"
"developer","bloom-ios"
"mac","bloom-ios"
"web","bloom-ios"
"developer","google-reader"
"mac","google-reader"
"web","google-reader"
"developer","plan-9"
"mac","plan-9"
"web","plan-9"
"mac","audio-kontrol-1"
"musician","audio-kontrol-1"
"mac","powershot-sd1000"
"musician","powershot-sd1000"
"mac","live"
"musician","live"
"mac","mda-vst"
"musician","mda-vst"
"mac","reason"
"musician","reason"
"mac","final-cut-pro"
"musician","final-cut-pro"
"mac","motion"
"musician","motion"
"mac","flash"
"musician","flash"
"game","oa-desk"
"suit","oa-desk"
"windows","oa-desk"
"game","beyond-tv"
"suit","beyond-tv"
"windows","beyond-tv"
"game","windows-xp"
"suit","windows-xp"
"windows","windows-xp"
"game","office"
"suit","office"
"windows","office"
"game","visual-studio"
"suit","visual-studio"
"windows","visual-studio"
"game","bloglines"
"suit","bloglines"
"windows","bloglines"
"developer","mac-pro"
"mac","mac-pro"
"software","mac-pro"
"developer","macbook-air"
"mac","macbook-air"
"software","macbook-air"
"developer","apple-tv"
"mac","apple-tv"
"software","apple-tv"
"developer","itunes"
"mac","itunes"
"software","itunes"
"developer","address-book"
"mac","address-book"
"software","address-book"
"developer","mobile-me"
"mac","mobile-me"
"software","mobile-me"
"developer","vmware-fusion"
"mac","vmware-fusion"
"software","vmware-fusion"
"developer","wow"
"mac","wow"
"software","wow"
"mac","macbook-pro"
"writer","macbook-pro"
"mac","cinema-display"
"writer","cinema-display"
"mac","iphone-3g"
"writer","iphone-3g"
"mac","gr-digital"
"writer","gr-digital"
